,,,Pollutant:,PM10,,,,Pollutant:,PM2.5,,
Week start,Week end,,Actual ,Forecasted ,95% CI ,95% CI ,,Actual ,Forecasted ,95% CI ,95% CI 
,,,PM10,PM10,(Lower),(Upper),,PM2.5,PM2.5,(Lower),(Upper)
09-12-17,15-12-17,,169.83,245.09,160.63,329.55,,146.34,163.72,115.79,211.66
16-12-17,22-12-17,,201.52,239.3,154.84,323.76,,144.04,159.25,111.11,207.38
23-12-17,29-12-17,,243.89,234.96,150.5,319.43,,125.12,159.02,110.38,207.67
30-12-17,05-01-18,,242.45,297.7,213.24,382.16,,127.14,212.66,162.57,262.75
06-01-18,12-01-18,,235.37,235.77,151.31,320.23,,121.77,153.63,103.16,204.1
13-01-18,19-01-18,,244.89,234.82,150.36,319.28,,134.86,129.8,79.16,180.44
20-01-18,26-01-18,,234.81,209.52,125.06,293.98,,166.32,167.93,117.1,218.75
27-01-18,02-02-18,,207.72,207.88,123.42,292.34,,147.3,149.38,98.45,200.3
03-02-18,09-02-18,,192.37,224.25,139.79,308.71,,127.84,132.67,81.7,183.64
10-02-18,16-02-18,,235.24,217.16,132.7,301.63,,120.47,127.37,76.37,178.38
17-02-18,23-02-18,,239.03,196.34,111.88,280.81,,142.21,131.11,80.08,182.13
24-02-18,02-03-18,,155.59,160.15,75.69,244.61,,94.68,86.69,35.65,137.73
03-03-18,09-03-18,,153.9,175.01,90.55,259.48,,111.85,95.67,44.63,146.72
10-03-18,16-03-18,,190.51,173.26,88.8,257.72,,86.44,75.73,24.68,126.78
17-03-18,23-03-18,,181.35,183.6,99.14,268.06,,81.91,79.91,28.86,130.97
24-03-18,30-03-18,,147.86,139.66,55.2,224.12,,75.37,58.74,7.68,109.79
31-03-18,06-04-18,,109.63,85.53,1.07,169.99,,58.04,38.42,0,89.47
07-04-18,13-04-18,,91.97,90.13,5.67,174.59,,43.78,39.93,0,90.99
14-04-18,20-04-18,,109.26,88.32,3.86,172.78,,63.93,51.92,0.86,102.98
21-04-18,27-04-18,,86.47,81.86,0,166.32,,51.56,40.04,0,91.09
28-04-18,04-05-18,,87.89,85.8,1.34,170.26,,49.08,46.82,0,97.88
05-05-18,11-05-18,,88.52,83.14,0,167.6,,32.42,45.21,0,96.27
12-05-18,18-05-18,,94.96,78.49,0,162.95,,44.09,36.94,0,88
19-05-18,25-05-18,,85.08,66.92,0,151.38,,43.28,42.2,0,93.26
26-05-18,01-06-18,,78.07,69.28,0,153.74,,36.37,41.22,0,92.28
02-06-18,08-06-18,,70.98,53.94,0,138.4,,37.27,34.25,0,85.31
09-06-18,15-06-18,,40.39,47.31,0,131.77,,28.81,37.87,0,88.93
16-06-18,22-06-18,,42.4,35.21,0,119.67,,31.74,28.2,0,79.26
23-06-18,29-06-18,,30.48,35.34,0,119.8,,16.98,17.02,0,68.08
30-06-18,06-07-18,,41.84,47.83,0,132.29,,19.76,18.68,0,69.74
07-07-18,13-07-18,,54.28,52.57,0,137.04,,17.41,15.46,0,66.51
14-07-18,20-07-18,,55.03,49.48,0,133.94,,14.81,16.08,0,67.14
21-07-18,27-07-18,,41.65,39.21,0,123.67,,22.44,22.61,0,73.67
28-07-18,03-08-18,,33.2,42.84,0,127.3,,23.01,25.4,0,76.46
04-08-18,10-08-18,,49.69,44.91,0,129.37,,32.12,27.96,0,79.01
11-08-18,17-08-18,,50.77,52.16,0,136.62,,22.3,24.82,0,75.88
18-08-18,24-08-18,,28.29,28.77,0,113.23,,30.16,30.28,0,81.33
25-08-18,31-08-18,,53.88,28.83,0,113.29,,29.86,25.33,0,76.39
01-09-18,07-09-18,,6.97,3,0,87.47,,20.2,18.69,0,69.75
08-09-18,14-09-18,,0,14.16,0,98.62,,19.05,24.77,0,75.83
15-09-18,21-09-18,,27.29,19.35,0,103.82,,43.5,41.31,0,92.37
22-09-18,28-09-18,,10.57,3.58,0,88.04,,28.54,35.97,0,87.03
29-09-18,05-10-18,,0,0,0,84.46,,40.83,43.7,0,94.75
06-10-18,12-10-18,,9.14,24.73,0,109.19,,41.45,38.25,0,89.3
13-10-18,19-10-18,,37.9,49.4,0,133.86,,26.69,43,0,94.06
20-10-18,26-10-18,,91.54,99.17,14.71,183.63,,56.62,56.18,5.13,107.24
27-10-18,02-11-18,,78.2,83.55,0,168.01,,67.48,69.74,18.68,120.79
03-11-18,09-11-18,,74.92,104.11,19.65,188.58,,57.1,64.01,12.95,115.06
10-11-18,16-11-18,,98.22,94.44,9.98,178.9,,62.61,86.21,35.15,137.27
17-11-18,23-11-18,,123.28,120.47,36.01,204.94,,112.31,123.29,72.24,174.35
24-11-18,30-11-18,,102.99,114.79,30.33,199.26,,132.23,131.66,80.6,182.71
01-12-18,07-12-18,,85.48,151.41,66.95,235.87,,136.71,147.5,96.45,198.56
08-12-18,14-12-18,,113.22,252.19,151.82,352.56,,139.08,173.26,113.23,233.28
15-12-18,21-12-18,,164.69,232.08,131.71,332.45,,134.14,157.52,97.42,217.62
22-12-18,28-12-18,,229.23,229.13,128.76,329.5,,58.62,158.23,97.96,218.51
29-12-18,04-01-19,,235.88,309.38,209,409.75,,91.61,223.63,162.85,284.42
05-01-19,11-01-19,,250.58,234.29,133.92,334.66,,55.16,154.26,93.34,215.19
