,,,Pollutant:,PM10,,,,Pollutant:,PM2.5,,
Week start,Week end,,Actual ,Forecasted ,95% CI ,95% CI ,,Actual ,Forecasted ,95% CI ,95% CI 
,,,PM10,PM10,(Lower),(Upper),,PM2.5,PM2.5,(Lower),(Upper)
09-12-17,15-12-17,,216.27,257.86,156.12,359.59,,113.24,162.74,106.46,219.02
16-12-17,22-12-17,,281.85,365.78,262.47,469.1,,154.21,219.5,161.17,277.83
23-12-17,29-12-17,,242.83,300.28,196.87,403.69,,156.58,182.86,123.97,241.75
30-12-17,05-01-18,,265.84,386.57,282.41,490.74,,161.77,236.78,176.94,296.62
06-01-18,12-01-18,,271.38,298.65,194.47,402.83,,179.87,198.94,138.85,259.02
13-01-18,19-01-18,,328.63,256.16,151.6,360.71,,238.69,171.12,110.58,231.66
20-01-18,26-01-18,,296.92,327.2,222.64,431.75,,192.26,175.14,114.5,235.78
27-01-18,02-02-18,,347.92,334.78,230.03,439.53,,202.72,174.1,113.25,234.96
03-02-18,09-02-18,,418.68,281.44,176.68,386.19,,251.51,173.48,112.58,234.38
10-02-18,16-02-18,,314.6,325.11,220.25,429.97,,153.88,160.43,99.43,221.44
17-02-18,23-02-18,,338.3,270.93,166.07,375.79,,163.64,150.16,89.13,211.18
24-02-18,02-03-18,,332.88,307.02,202.1,411.95,,165.68,139.96,78.88,201.04
03-03-18,09-03-18,,225.12,245.9,140.98,350.83,,115.54,121.52,60.44,182.61
10-03-18,16-03-18,,304.45,173.26,68.3,278.22,,133.27,93.98,32.87,155.09
17-03-18,23-03-18,,223.6,182.77,77.8,287.73,,106.73,105.83,44.72,166.94
24-03-18,30-03-18,,277.37,115.81,10.83,220.8,,137.1,69.15,8.03,130.28
31-03-18,06-04-18,,175.04,88.63,0,193.62,,93.09,45.65,0,106.78
07-04-18,13-04-18,,185.98,98.05,0,203.05,,97.38,44.74,0,105.87
14-04-18,20-04-18,,134.36,131.19,26.19,236.2,,69.24,58.69,0,119.83
21-04-18,27-04-18,,108.86,93.44,0,198.45,,60.3,45.28,0,106.42
28-04-18,04-05-18,,123.61,99.96,0,204.98,,68.41,52.3,0,113.43
05-05-18,11-05-18,,84.63,100.83,0,205.85,,53.66,51.96,0,113.1
12-05-18,18-05-18,,89.18,77.96,0,182.99,,58.03,40.54,0,101.68
19-05-18,25-05-18,,106.28,89.67,0,194.7,,64.27,49.56,0,110.7
26-05-18,01-06-18,,73.64,99.03,0,204.06,,32.9,50.47,0,111.61
02-06-18,08-06-18,,86.39,65.26,0,170.29,,47.71,36.44,0,97.58
09-06-18,15-06-18,,94.01,75.73,0,180.77,,45.3,37.69,0,98.83
16-06-18,22-06-18,,86.65,52.28,0,157.31,,38.64,24.03,0,85.17
23-06-18,29-06-18,,62.02,55.07,0,160.1,,34.43,25.08,0,86.22
30-06-18,06-07-18,,63.8,30.42,0,135.46,,26.8,13.8,0,74.94
07-07-18,13-07-18,,66.05,42.83,0,147.87,,32.6,22.35,0,83.49
14-07-18,20-07-18,,65.07,51.32,0,156.35,,29.88,52.59,0,113.73
21-07-18,27-07-18,,76.81,64.3,0,169.34,,34,31.11,0,92.25
28-07-18,03-08-18,,72.76,66.16,0,171.2,,35.42,26.44,0,87.58
04-08-18,10-08-18,,86.61,71.43,0,176.47,,39.09,31.73,0,92.87
11-08-18,17-08-18,,77.3,69.24,0,174.28,,29.26,30.32,0,91.46
18-08-18,24-08-18,,70.08,87.44,0,192.48,,29.66,41.85,0,102.99
25-08-18,31-08-18,,36.95,69.45,0,174.49,,16.54,31.2,0,92.34
01-09-18,07-09-18,,47.87,61.43,0,166.47,,21.32,28.32,0,89.46
08-09-18,14-09-18,,68.93,48.47,0,153.51,,30.16,28.94,0,90.07
15-09-18,21-09-18,,99.92,79.64,0,184.68,,48.45,44.53,0,105.67
22-09-18,28-09-18,,92.31,86.84,0,191.88,,42.05,43.95,0,105.09
29-09-18,05-10-18,,138.47,97.39,0,202.43,,68.04,49.19,0,110.33
06-10-18,12-10-18,,187.52,86.65,0,191.69,,88.71,38.11,0,99.24
13-10-18,19-10-18,,81.77,108.95,3.91,213.99,,46.24,48.65,0,109.79
20-10-18,26-10-18,,192.33,104.51,0,209.55,,79.47,50.38,0,111.52
27-10-18,02-11-18,,171.36,129.8,24.76,234.84,,92.48,69.22,8.08,130.36
03-11-18,09-11-18,,131.5,161.94,56.9,266.98,,77.92,88.69,27.56,149.83
10-11-18,16-11-18,,242.19,179.37,74.33,284.41,,140.05,98.47,37.33,159.61
17-11-18,23-11-18,,332.91,186.67,81.63,291.71,,156.09,100.52,39.38,161.66
24-11-18,30-11-18,,259.54,234.52,129.48,339.56,,155.44,136.83,75.69,197.97
01-12-18,07-12-18,,222.73,287.34,182.3,392.38,,142.5,162.07,100.93,223.21
08-12-18,14-12-18,,239.71,265.95,144.45,387.46,,176.82,172.33,104.92,239.73
15-12-18,21-12-18,,287.19,360.62,238.64,482.61,,182.67,219.84,151.99,287.69
22-12-18,28-12-18,,170.95,295.98,173.96,418,,131.6,182.95,114.98,250.92
29-12-18,04-01-19,,230.16,403.25,280.99,525.5,,176.27,256.96,188.78,325.14
05-01-19,11-01-19,,205.05,284.65,162.39,406.9,,138.34,187.54,119.31,255.77
